,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
1423,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SCE378,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.21465723   51.1170431 ]
1424,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SCE379,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.21247296   51.11001632]
1425,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SCE392,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.21317696   51.1204323 ]
1426,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SIG757,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.17019935   51.0360448 ]
1427,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MPK545,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.93850503   51.06443996]
1428,,LINEAR PARK,1,TITLED,NO BREAKDOWN,,,MPK550,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-113.94701804   51.05382398]
1429,,LINEAR PARK,1,TITLED,NO BREAKDOWN,,,SIL237,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.20923937   51.10936226]
1430,,LINEAR PARK,1,TITLED,NO BREAKDOWN,,,MPK557,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.94694064   51.05559513]
1431,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,RIV866,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.01426018   50.97038732]
1432,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SIG682,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.17594125   51.03158991]
