,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
69,90,5120 21 ST SW,2022-02-24,2022,2023-06-20,2023,Townhouse,KEN HOMES,KEN HOMES,KEN HOMES,4,937717,NORTH GLENMORE PARK,NGM,569500,2170000,1600500,97000.0,"[-114.1117151, 51.00814516]",,,"234,429.25",,,4.930746638368091
70,57,1941 46 ST NW,2018-03-29,2018,2019-10-18,2019,Townhouse,CONSTRUCTED CONCEPT DEVELOPMENTS,CONSTRUCTED CONCEPT DEVELOPMENTS,0,4,876033,MONTGOMERY,MON,371500,1975500,1604000,71500.0,"[-114.1600456, 51.07305786]",,,"219,008.25",,,6.9198559703167195
71,7,111 SETON RO SE,2022-04-06,2022,2023-09-18,2023,Townhouse,BROOKFIELD RESIDENTIAL (ALBERTA),0,BROOKFIELD RESIDENTIAL (ALBERTA),4,765025,SETON,SET,286000,1906000,1620000,,"[-113.9488382, 50.86461415]",,,"191,256.25",,,21.80406291917777
72,75,3218B 26 AV SW,2022-08-11,2022,2023-05-04,2023,Townhouse,KILLARNEY23,KILLARNEY23,PEN LAKE VENTURES,4,759053,KILLARNEY/GLENGARRY,KIL,576000,2220000,1644000,87000.0,"[-114.1334516, 51.0301608]",,,"189,763.25",,,4.5997757429179655
73,172,5103 6 ST SW,2017-08-24,2017,2022-10-14,2022,Townhouse,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,8,1670100,WINDSOR PARK,WND,1540500,3189000,1648500,73500.0,"[-114.07906565, 51.008394315000004]",,,"208,762.50",,,4.07179839353153
74,113,417 7 ST NW,2019-09-12,2019,2021-01-12,2021,Townhouse,RENOVA HOMES & RENOVATIONS,RENOVA HOMES & RENOVATIONS,RENOVA HOMES & RENOVATIONS,4,650547,SUNNYSIDE,SSD,505000,2159500,1654500,71500.0,"[-114.0815959, 51.05826548]",,,"162,636.75",,,1.6508054226517481
75,13,1502 37 AV SW,2019-05-29,2019,2020-10-13,2020,Townhouse,MATT WILSON VENTURES,MATT WILSON VENTURES,0,5,1273417,ALTADORE,ALT,821500,2479500,1658000,95000.0,"[-114.0948712, 51.02136604]",,,"254,683.40",,,3.0553607165343073
76,70,2176 11 ST NW,2021-03-09,2021,2021-10-26,2021,Unspecified,GOVIND HOMES,0,GOVIND HOMES,4,893588,CAPITOL HILL,CAP,581500,2260500,1679000,71500.0,"[-114.0871687, 51.07104481]",,,"223,397.00",,,3.114674749644738
77,34,3248 18 ST SW,2019-04-02,2019,2020-08-21,2020,Unspecified,0,0,0,4,981994,SOUTH CALGARY,SOC,667500,2355000,1687500,95000.0,"[-114.1042005, 51.02502592]",,,"245,498.50",,,3.1477936438185616
78,153,2320 16A ST SW,2018-02-27,2018,2021-07-02,2021,Townhouse,SUPERIOR DRAFTING & DESIGN,SUPERIOR DRAFTING & DESIGN,0,5,1224349,BANKVIEW,BNK,923500,2653500,1730000,48800.0,"[-114.1002486, 51.03346627]",,,"244,869.80",,,2.345826732923975
79,216,#3B 202 25 AV NW,2021-11-26,2021,2023-10-27,2023,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,799400,TUXEDO PARK,TUX,600000,2337000,1737000,70500.0,"[-114.0653281, 51.07528421]",,,"199,850.00",,,3.427882187945982
